type_of_material	headline	web_url	pub_date	section_name
News	Reinfections appear more common with Omicron, South African scientists say.	https://www.nytimes.com/2021/12/02/world/africa/reinfections-appear-more-common-with-omicron-south-african-scientists-say.html	2021-12-02T20:16:37+0000	World
News	‘It’s not quite like riding a bike’: Pilots prepare to fly again.	https://www.nytimes.com/2021/05/07/world/its-not-quite-like-riding-a-bike-pilots-prepare-to-fly-again.html	2021-05-07T09:58:22+0000	World
News	U.S. Pulls Most Diplomats From Kyiv as Tensions Mount	https://www.nytimes.com/2022/02/12/world/europe/russia-ukraine-war-biden-putin.html	2022-02-12T23:43:48+0000	World
Letter	A Song for Stephen Sondheim, Starring Julie Andrews	https://www.nytimes.com/2021/11/29/opinion/letters/stephen-sondheim-broadway.html	2021-11-29T23:12:46+0000	Opinion
News	A One-Legged Man Bathing on a Rooftop in Syria? Must Be ISIS’ Leader.	https://www.nytimes.com/2022/02/10/us/politics/abu-ibrahim-al-hashimi-al-qurayshi-isis.html	2022-02-10T22:01:28+0000	U.S.
News	The largest U.S. teachers’ union announces support for vaccination or testing for educators.	https://www.nytimes.com/2021/08/12/world/teachers-union-vaccine-mandate.html	2021-08-12T17:44:02+0000	World
News	With U.S. Asylum System Closed to Many, Some Find Sanctuary in Mexico	https://www.nytimes.com/2021/04/08/world/americas/mexico-asylum.html	2021-04-08T20:20:58+0000	World
News	Meeting Hungary’s Strongman, Pope Treads a Fine Line With an Embattled Leader	https://www.nytimes.com/2021/09/11/world/europe/pope-francis-orban-hungary.html	2021-09-11T07:18:28+0000	World
News	Nicaragua Seizes Universities, Inching Toward Dictatorship	https://www.nytimes.com/2022/02/14/world/americas/nicaragua-universities-ortega-dictatorship.html	2022-02-14T15:33:47+0000	World
News	Thanksgiving Forecast: Mostly Clear With Minor Travel Delays Possible	https://www.nytimes.com/2021/11/20/us/thanksgiving-weather-forecast-travel.html	2021-11-20T19:14:43+0000	U.S.
News	North Korea Launches Short-Range Missile as Country’s Envoy Speaks at U.N.	https://www.nytimes.com/2021/09/27/world/asia/north-korea-projectile-launch-UN.html	2021-09-28T00:13:55+0000	World
News	Meadows Pressed Justice Dept. to Investigate Election Fraud Claims	https://www.nytimes.com/2021/06/05/us/politics/mark-meadows-justice-department-election.html	2021-06-05T13:53:31+0000	U.S.
News	Ida’s wind-driven remnants pummel the New York City region.	https://www.nytimes.com/2021/09/01/us/northeast-rain-ida-new-york.html	2021-09-01T10:15:02+0000	U.S.
News	Greece tightens restrictions on the unvaccinated as virus cases spike.	https://www.nytimes.com/2021/11/03/world/europe/greece-covid-restrictions.html	2021-11-03T19:11:37+0000	World
News	Abortion Is Now Legal in Argentina, but Opponents Are Making It Hard to Get	https://www.nytimes.com/2021/03/07/world/americas/argentina-abortion-opposition.html	2021-03-07T10:00:15+0000	World
News	Justice Dept. watchdog and Senate Democrats promise to investigate secret seizure of lawmakers’ data.	https://www.nytimes.com/2021/06/11/us/politics/democrats-trump-leak-investigations.html	2021-06-11T15:39:17+0000	U.S.
News	Senate Confirms First Biden Judges, Beginning Push to Rebalance Courts	https://www.nytimes.com/2021/06/08/us/politics/federal-judges-biden.html	2021-06-08T21:51:47+0000	U.S.
News	Biden Considering Robert Califf, a Former F.D.A. Commissioner, to Lead Agency Again	https://www.nytimes.com/2021/10/14/us/politics/robert-califf-fda-biden.html	2021-10-14T17:58:16+0000	U.S.
News	Hundreds in Rare Hong Kong Protest as Opposition Figures Are Charged	https://www.nytimes.com/2021/03/01/world/asia/hong-kong-protest.html	2021-03-01T12:19:32+0000	World
Obituary (Obit)	Arturo Di Modica, Sculptor of the ‘Charging Bull’, Dies at 80	https://www.nytimes.com/2021/02/21/us/arturo-di-modica-dead.html	2021-02-21T18:51:58+0000	U.S.
News	Six G.O.P. senators vote to proceed with the trial, one more than in a similar vote last month.	https://www.nytimes.com/2021/02/09/us/politics/republicans-bill-cassidy.html	2021-02-09T23:16:40+0000	U.S.
briefing	What Can Reopen in the Red Tier?	https://www.nytimes.com/2021/03/03/us/california-reopening-tiers.html	2021-03-03T14:05:51+0000	U.S.
Obituary (Obit)	Shintaro Ishihara, Outspoken Nationalist Governor of Tokyo, Dies at 89	https://www.nytimes.com/2022/02/02/world/asia/shintaro-ishihara-dead.html	2022-02-02T09:27:20+0000	World
Obituary (Obit)	Robert Slavin, Who Studied How Children Learn, Dies at 70	https://www.nytimes.com/2021/05/11/education/robert-slavin-dead.html	2021-05-11T18:58:47+0000	Education
Obituary (Obit)	Sara McLanahan, Who Studied Single Motherhood, Dies at 81	https://www.nytimes.com/2022/01/19/us/sara-mclanahan-dead.html	2022-01-19T22:44:50+0000	U.S.
Op-Ed	Parenting in 2021? ‘Not Great, Bob!’	https://www.nytimes.com/2021/12/22/opinion/parenting-covid-vaccinated.html	2021-12-22T15:50:32+0000	Opinion
